time(s),p2(kPa),Voltage(V)
6.63,0.00,-32.89
6.64,0.00,-32.75
6.66,0.00,-32.60
6.67,0.00,-32.43
6.68,0.00,-32.28
6.70,0.00,-32.11
6.71,0.00,-31.94
6.72,0.00,-31.76
6.74,0.00,-31.58
6.75,0.00,-31.40
6.76,0.00,-31.21
6.77,0.00,-31.02
6.79,0.00,-30.83
6.80,0.00,-30.62
6.81,0.00,-30.41
6.82,0.00,-30.22
6.84,0.00,-30.00
6.85,0.00,-29.77
6.86,0.00,-29.56
6.88,0.00,-29.34
6.89,0.00,-29.09
6.90,0.00,-28.87
6.92,0.00,-28.64
6.93,0.00,-28.38
6.94,0.00,-28.15
6.96,0.00,-27.90
6.97,0.00,-27.63
6.98,0.00,-27.40
6.99,0.00,-27.14
7.01,0.00,-26.90
7.02,0.00,-26.61
7.03,0.00,-26.35
7.05,0.00,-26.10
7.06,0.00,-25.80
7.07,0.00,-25.52
7.09,0.00,-25.27
7.10,0.00,-24.96
7.11,0.00,-24.68
7.12,0.00,-24.41
7.14,0.00,-24.12
7.15,0.00,-23.81
7.16,0.00,-23.54
7.18,0.00,-23.24
7.19,0.00,-22.94
7.20,0.00,-22.64
7.21,0.00,-22.34
7.23,0.00,-22.03
7.24,0.00,-21.73
7.25,0.00,-21.42
7.27,0.00,-21.13
7.28,0.00,-20.80
7.29,0.00,-20.48
7.30,0.00,-20.19
7.32,0.00,-19.85
7.33,0.00,-19.56
7.34,0.00,-19.24
7.36,0.00,-18.90
7.37,0.00,-18.60
7.38,0.00,-18.28
7.40,0.00,-17.93
7.41,0.00,-17.63
7.42,0.00,-17.31
7.43,0.00,-16.98
7.45,0.00,-16.66
7.46,0.00,-16.33
7.47,0.00,-16.00
7.49,0.00,-15.68
7.50,0.00,-15.35
7.51,0.00,-15.03
7.53,0.00,-14.70
7.54,0.00,-14.37
7.55,0.00,-14.05
7.56,0.00,-13.74
7.58,0.00,-13.39
7.59,0.00,-13.09
7.60,0.00,-12.77
7.61,0.00,-12.42
7.63,0.00,-12.12
7.64,0.00,-11.80
7.65,0.00,-11.45
7.67,0.00,-11.15
7.68,0.00,-10.83
7.69,0.00,-10.49
7.71,0.00,-10.20
7.72,0.00,-9.88
7.73,0.00,-9.59
7.75,0.00,-9.25
7.76,0.00,-8.94
7.77,0.00,-8.65
7.78,0.00,-8.32
7.80,0.00,-8.04
7.81,0.00,-7.73
7.82,0.00,-7.40
7.84,0.00,-7.13
7.85,0.00,-6.83
7.86,0.00,-6.55
7.87,0.00,-6.24
7.89,0.00,-5.94
7.90,0.00,-5.67
7.91,0.00,-5.36
7.93,0.00,-5.10
7.94,0.00,-4.82
7.95,0.00,-4.54
7.96,0.00,-4.26
7.98,0.00,-3.99
7.99,0.00,-3.74
8.00,0.00,-3.45
8.02,0.00,-3.20
8.03,0.00,-2.94
8.04,0.00,-2.66
8.05,0.00,-2.43
8.07,0.00,-2.17
8.08,0.00,-1.93
8.09,0.00,-1.68
8.10,0.00,-1.44
8.12,0.00,-1.22
8.13,0.00,-0.96
8.14,0.00,-0.75
8.16,0.00,-0.52
8.17,0.00,-0.30
8.18,0.00,-0.08
8.20,0.00,0.13
8.21,0.00,0.35
8.22,0.00,0.55
8.23,0.00,0.74
8.25,0.00,0.96
8.26,0.00,1.15
8.27,0.00,1.33
8.29,0.00,1.51
8.30,0.00,1.70
8.31,0.00,1.87
8.32,0.00,2.03
8.34,0.00,2.21
8.35,0.00,2.38
8.36,0.00,2.53
8.38,0.00,2.69
8.39,0.00,2.83
8.40,0.00,2.98
8.42,0.00,3.12
8.43,0.00,3.25
8.44,0.00,3.38
8.45,0.00,3.50
8.47,0.00,3.63
8.48,0.00,3.75
8.49,0.00,3.85
8.51,0.00,3.97
8.52,0.00,4.06
8.53,0.00,4.16
8.54,0.00,4.24
8.56,0.00,4.33
8.57,0.00,4.41
8.58,0.00,4.48
8.60,0.00,4.56
8.61,0.00,4.62
8.62,0.00,4.68
8.63,0.00,4.74
8.65,0.00,4.79
8.66,0.00,4.83
8.67,0.00,4.87
8.69,0.00,4.91
8.70,0.00,4.93
8.71,0.00,4.96
8.72,0.00,4.98
8.74,0.00,4.99
8.75,0.00,5.00
8.76,0.00,5.00
8.78,0.00,5.00
8.79,0.00,4.99
8.80,0.00,4.98
8.81,0.00,4.96
8.83,0.00,4.94
8.84,0.00,4.91
8.85,0.00,4.87
8.87,0.00,4.83
8.88,0.00,4.79
8.89,0.00,4.74
8.90,0.00,4.68
8.92,0.00,4.62
8.93,0.00,4.56
8.94,0.00,4.48
8.96,0.00,4.41
8.97,0.00,4.33
8.98,0.00,4.25
9.00,0.00,4.16
9.01,0.00,4.06
9.02,0.00,3.96
9.03,0.00,3.85
9.05,0.00,3.75
9.06,0.00,3.62
9.07,0.00,3.50
9.09,0.00,3.38
9.10,0.00,3.25
9.11,0.00,3.12
9.12,0.00,2.98
9.14,0.00,2.83
9.15,0.00,2.68
9.16,0.00,2.53
9.18,0.00,2.38
9.19,0.00,2.20
9.20,0.00,2.03
9.21,0.00,1.87
9.23,0.00,1.70
9.24,0.00,1.51
9.25,0.00,1.33
9.27,0.00,1.14
9.28,0.00,0.94
9.29,0.00,0.74
9.31,0.00,0.55
9.32,0.00,0.33
9.33,0.00,0.13
9.34,0.00,-0.08
9.36,0.00,-0.32
9.37,0.00,-0.52
9.38,0.00,-0.75
9.40,0.00,-0.96
9.41,0.00,-1.22
9.42,0.00,-1.46
9.43,0.00,-1.68
9.45,0.00,-1.94
9.46,0.00,-2.17
9.47,0.00,-2.43
9.48,0.00,-2.70
9.50,0.00,-2.94
9.51,0.00,-3.20
9.52,0.00,-3.45
9.54,0.00,-3.74
9.55,0.00,-4.01
9.56,0.00,-4.26
9.57,0.00,-4.56
9.59,0.00,-4.82
9.60,0.00,-5.10
9.61,0.00,-5.39
9.63,0.00,-5.67
9.64,0.00,-5.97
9.65,0.00,-6.24
9.67,0.00,-6.55
9.68,0.00,-6.83
9.69,0.00,-7.13
9.70,0.00,-7.45
9.72,0.00,-7.73
9.73,0.00,-8.04
9.74,0.00,-8.34
9.76,0.00,-8.65
9.77,0.00,-8.96
9.78,0.00,-9.25
9.79,0.00,-9.59
9.81,0.00,-9.88
9.82,0.00,-10.20
9.83,0.00,-10.54
9.85,0.00,-10.83
9.86,0.00,-11.15
9.87,0.00,-11.47
9.89,0.00,-11.80
9.90,0.00,-12.12
9.91,0.00,-12.42
9.92,0.00,-12.77
9.94,0.00,-13.09
9.95,0.00,-13.39
9.96,0.00,-13.74
9.98,0.00,-14.07
9.99,0.00,-14.37
10.00,0.00,-14.72
10.01,0.00,-15.05
10.03,0.00,-15.35
10.04,0.00,-15.70
10.05,0.00,-16.03
10.07,0.00,-16.33
10.08,0.00,-16.66
10.09,0.00,-17.01
10.10,0.00,-17.33
10.12,0.00,-17.63
10.13,0.00,-17.98
10.14,0.00,-18.30
10.16,0.00,-18.60
10.17,0.00,-18.94
10.18,0.00,-19.26
10.20,0.00,-19.56
10.21,0.00,-19.88
10.22,0.00,-20.22
10.23,0.00,-20.53
10.25,0.00,-20.82
10.26,0.00,-21.16
10.27,0.00,-21.47
10.29,0.00,-21.75
10.30,0.00,-22.08
10.31,0.00,-22.39
10.33,0.00,-22.67
10.34,0.00,-22.99
10.35,0.00,-23.29
10.36,0.00,-23.58
10.38,0.00,-23.86
10.39,0.00,-24.17
10.40,0.00,-24.46
10.42,0.00,-24.72
10.43,0.00,-25.03
10.44,0.00,-25.31
10.46,0.00,-25.57
10.47,0.00,-25.86
10.48,0.00,-26.14
10.50,0.00,-26.39
10.51,0.00,-26.67
10.52,0.00,-26.94
10.53,0.00,-27.20
10.55,0.00,-27.44
10.56,0.00,-27.71
10.57,0.00,-27.96
10.59,0.00,-28.19
10.60,0.00,-28.45
10.61,0.00,-28.69
10.63,0.00,-28.91
10.64,0.00,-29.16
10.65,0.00,-29.39
10.66,0.00,-29.61
10.68,0.00,-29.82
10.69,0.00,-30.05
10.70,0.00,-30.27
10.72,0.00,-30.46
10.73,0.00,-30.68
10.74,0.00,-30.88
10.76,0.00,-31.06
10.77,0.00,-31.27
10.78,0.00,-31.46
10.80,0.00,-31.64
10.81,0.00,-31.82
10.82,0.00,-31.99
10.83,0.00,-32.16
10.85,0.00,-32.32
10.86,0.00,-32.49
10.87,0.00,-32.65
10.89,0.00,-32.79
10.90,0.00,-32.94
10.91,0.00,-33.09
10.93,0.00,-33.22
10.94,0.00,-33.36
10.95,0.00,-33.48
10.96,0.00,-33.60
10.98,0.00,-33.71
10.99,0.00,-33.83
11.00,0.00,-33.94
11.02,0.00,-34.04
11.03,0.00,-34.14
11.04,0.00,-34.23
11.06,0.00,-34.32
11.07,0.00,-34.40
11.08,0.00,-34.48
11.09,0.00,-34.55
11.11,0.00,-34.62
11.12,0.00,-34.68
11.13,0.00,-34.73
11.15,0.00,-34.78
11.16,0.00,-34.83
11.17,0.00,-34.87
11.19,0.00,-34.90
11.20,0.00,-34.93
11.21,0.00,-34.96
11.22,0.00,-34.98
11.24,0.00,-34.99
11.25,0.00,-35.00
11.26,0.00,-35.00
11.28,0.00,-35.00
11.29,0.00,-34.99
11.30,0.00,-34.98
11.31,0.00,-34.96
11.33,0.00,-34.93
11.34,0.00,-34.90
11.35,0.00,-34.87
11.37,0.00,-34.83
11.38,0.00,-34.78
11.39,0.00,-34.73
11.41,0.00,-34.68
11.42,0.00,-34.62
11.43,0.00,-34.55
11.44,0.00,-34.48
11.46,0.00,-34.40
11.47,0.00,-34.32
11.48,0.00,-34.23
11.50,0.00,-34.14
11.51,0.00,-34.04
11.52,0.00,-33.94
11.54,0.00,-33.83
11.55,0.00,-33.72
11.56,0.00,-33.60
11.57,0.00,-33.47
11.59,0.00,-33.36
11.60,0.00,-33.22
11.61,0.00,-33.09
11.63,0.00,-32.94
11.64,0.00,-32.80
11.65,0.00,-32.65
11.67,0.00,-32.49
11.68,0.00,-32.33
11.69,0.00,-32.16
11.71,0.00,-31.98
11.72,0.00,-31.82
11.73,0.00,-31.64
11.74,0.00,-31.46
11.76,0.00,-31.27
11.77,0.00,-31.08
11.78,0.00,-30.88
11.80,0.00,-30.66
11.81,0.00,-30.47
11.82,0.00,-30.27
11.84,0.00,-30.04
11.85,0.00,-29.83
11.86,0.00,-29.61
11.87,0.00,-29.37
11.89,0.00,-29.16
11.90,0.00,-28.93
11.91,0.00,-28.69
11.93,0.00,-28.43
11.94,0.00,-28.21
11.95,0.00,-27.96
11.97,0.00,-27.69
11.98,0.00,-27.46
11.99,0.00,-27.20
12.01,0.00,-26.92
12.02,0.00,-26.65
12.03,0.00,-26.41
12.04,0.00,-26.14
12.06,0.00,-25.84
12.07,0.00,-25.59
12.08,0.00,-25.31
12.10,0.00,-25.01
12.11,0.00,-24.75
12.12,0.00,-24.46
12.14,0.00,-24.15
12.15,0.00,-23.86
12.16,0.00,-23.58
12.17,0.00,-23.26
12.19,0.00,-22.97
12.20,0.00,-22.69
12.21,0.00,-22.39
12.23,0.00,-22.06
12.24,0.00,-21.77
12.25,0.00,-21.47
12.27,0.00,-21.13
12.28,0.00,-20.82
12.29,0.00,-20.53
12.30,0.00,-20.19
12.32,0.00,-19.88
12.33,0.00,-19.58
12.34,0.00,-19.26
12.36,0.00,-18.92
12.37,0.00,-18.60
12.38,0.00,-18.30
12.40,0.00,-17.95
12.41,0.00,-17.63
12.42,0.00,-17.33
12.43,0.00,-16.98
12.45,0.00,-16.66
12.46,0.00,-16.36
12.47,0.00,-16.00
12.49,0.00,-15.68
12.50,0.00,-15.35
12.51,0.00,-15.05
12.52,0.00,-14.70
12.54,0.00,-14.37
12.55,0.00,-14.07
12.56,0.00,-13.72
12.58,0.00,-13.39
12.59,0.00,-13.07
12.60,0.00,-12.74
12.62,0.00,-12.42
12.63,0.00,-12.09
12.64,0.00,-11.80
12.65,0.00,-11.45
12.67,0.00,-11.13
12.68,0.00,-10.83
12.69,0.00,-10.49
12.71,0.00,-10.17
12.72,0.00,-9.86
12.73,0.00,-9.54
12.75,0.00,-9.23
12.76,0.00,-8.92
12.77,0.00,-8.60
12.78,0.00,-8.30
12.80,0.00,-7.99
12.81,0.00,-7.71
12.82,0.00,-7.38
12.84,0.00,-7.10
12.85,0.00,-6.80
12.86,0.00,-6.48
12.88,0.00,-6.21
12.89,0.00,-5.92
12.90,0.00,-5.61
12.91,0.00,-5.34
12.93,0.00,-5.06
12.94,0.00,-4.75
12.95,0.00,-4.50
12.97,0.00,-4.22
12.98,0.00,-3.95
12.99,0.00,-3.68
13.01,0.00,-3.41
13.02,0.00,-3.14
13.03,0.00,-2.88
13.04,0.00,-2.62
13.06,0.00,-2.37
13.07,0.00,-2.12
13.08,0.00,-1.87
13.10,0.00,-1.62
13.11,0.00,-1.40
13.12,0.00,-1.15
13.13,0.00,-0.91
13.15,0.00,-0.70
13.16,0.00,-0.46
13.17,0.00,-0.25
13.19,0.00,-0.03
13.20,0.00,0.20
13.21,0.00,0.39
13.23,0.00,0.60
13.24,0.00,0.80
13.25,0.00,1.00
13.26,0.00,1.20
13.28,0.00,1.38
13.29,0.00,1.57
13.30,0.00,1.75
13.32,0.00,1.93
13.33,0.00,2.10
13.34,0.00,2.27
13.35,0.00,2.43
13.37,0.00,2.59
13.38,0.00,2.74
13.39,0.00,2.89
13.41,0.00,3.02
13.42,0.00,3.17
13.43,0.00,3.30
13.45,0.00,3.42
13.46,0.00,3.56
13.47,0.00,3.67
13.48,0.00,3.78
13.50,0.00,3.90
13.51,0.00,4.00
13.52,0.00,4.10
13.54,0.00,4.19
13.55,0.00,4.28
13.56,0.00,4.37
13.57,0.00,4.44
13.59,0.00,4.52
13.60,0.00,4.59
13.61,0.00,4.65
13.63,0.00,4.71
13.64,0.00,4.76
13.65,0.00,4.81
13.67,0.00,4.85
13.68,0.00,4.89
13.69,0.00,4.92
13.71,0.00,4.95
13.72,0.00,4.97
13.73,0.00,4.98
13.74,0.00,4.99
13.76,0.00,5.00
13.77,0.00,5.00
13.78,0.00,4.99
13.80,0.00,4.98
13.81,0.00,4.97
13.82,0.00,4.95
13.84,0.00,4.92
13.85,0.00,4.89
13.86,0.00,4.85
13.87,0.00,4.81
13.89,0.00,4.76
13.90,0.00,4.71
13.91,0.00,4.65
13.93,0.00,4.59
13.94,0.00,4.52
13.95,0.00,4.44
13.96,0.00,4.37
13.98,0.00,4.28
13.99,0.00,4.19
14.00,0.00,4.10
14.02,0.00,4.00
14.03,0.00,3.89
14.04,0.00,3.79
14.06,0.00,3.67
14.07,0.00,3.55
14.08,0.00,3.43
14.09,0.00,3.29
14.11,0.00,3.16
14.12,0.00,3.03
14.13,0.00,2.89
14.15,0.00,2.73
14.16,0.00,2.59
14.17,0.00,2.43
14.18,0.00,2.25
14.20,0.00,2.10
14.21,0.00,1.93
14.22,0.00,1.74
14.24,0.00,1.57
14.25,0.00,1.38
14.26,0.00,1.20
14.27,0.00,1.00
14.29,0.00,0.80
14.30,0.00,0.60
14.31,0.00,0.39
14.33,0.00,0.18
14.34,0.00,-0.01
14.35,0.00,-0.25
14.36,0.00,-0.47
14.38,0.00,-0.68
14.39,0.00,-0.93
14.40,0.00,-1.16
14.42,0.00,-1.38
14.43,0.00,-1.62
14.44,0.00,-1.89
14.46,0.00,-2.12
14.47,0.00,-2.37
14.48,0.00,-2.64
14.50,0.00,-2.88
14.51,0.00,-3.14
14.52,0.00,-3.43
14.53,0.00,-3.68
14.55,0.00,-3.95
14.56,0.00,-4.22
14.57,0.00,-4.50
14.59,0.00,-4.78
14.60,0.00,-5.06
14.61,0.00,-5.34
14.63,0.00,-5.63
14.64,0.00,-5.92
14.65,0.00,-6.21
14.66,0.00,-6.51
14.68,0.00,-6.80
14.69,0.00,-7.08
14.70,0.00,-7.40
14.72,0.00,-7.71
14.73,0.00,-7.99
14.74,0.00,-8.32
14.75,0.00,-8.63
14.77,0.00,-8.92
14.78,0.00,-9.25
14.79,0.00,-9.57
14.81,0.00,-9.86
14.82,0.00,-10.20
14.83,0.00,-10.51
14.85,0.00,-10.81
14.86,0.00,-11.13
14.87,0.00,-11.47
14.88,0.00,-11.77
14.90,0.00,-12.09
14.91,0.00,-12.44
14.92,0.00,-12.77
14.94,0.00,-13.07
14.95,0.00,-13.42
14.96,0.00,-13.74
14.98,0.00,-14.05
14.99,0.00,-14.40
15.00,0.00,-14.72
15.01,0.00,-15.05
15.03,0.00,-15.35
15.04,0.00,-15.70
15.05,0.00,-16.03
15.07,0.00,-16.33
15.08,0.00,-16.68
15.09,0.00,-17.01
15.11,0.00,-17.31
15.12,0.00,-17.66
15.13,0.00,-17.98
15.14,0.00,-18.30
15.16,0.00,-18.60
15.17,0.00,-18.94
15.18,0.00,-19.26
15.20,0.00,-19.56
15.21,0.00,-19.90
15.22,0.00,-20.22
15.24,0.00,-20.51
15.25,0.00,-20.84
15.26,0.00,-21.16
15.27,0.00,-21.47
15.29,0.00,-21.77
15.30,0.00,-22.08
15.31,0.00,-22.39
15.33,0.00,-22.67
15.34,0.00,-22.99
15.35,0.00,-23.29
15.37,0.00,-23.56
15.38,0.00,-23.88
15.39,0.00,-24.17
15.40,0.00,-24.46
15.42,0.00,-24.75
15.43,0.00,-25.03
15.44,0.00,-25.31
15.46,0.00,-25.57
15.47,0.00,-25.86
15.48,0.00,-26.14
15.50,0.00,-26.39
15.51,0.00,-26.67
15.52,0.00,-26.94
15.53,0.00,-27.20
15.55,0.00,-27.46
15.56,0.00,-27.71
15.57,0.00,-27.96
15.59,0.00,-28.21
15.60,0.00,-28.45
15.61,0.00,-28.69
15.63,0.00,-28.91
15.64,0.00,-29.16
15.65,0.00,-29.39
15.67,0.00,-29.61
15.68,0.00,-29.83
15.69,0.00,-30.05
15.70,0.00,-30.27
15.72,0.00,-30.47
15.73,0.00,-30.68
15.74,0.00,-30.88
15.76,0.00,-31.06
15.77,0.00,-31.27
15.78,0.00,-31.46
15.80,0.00,-31.64
15.81,0.00,-31.82
15.82,0.00,-31.99
15.83,0.00,-32.16
15.85,0.00,-32.33
15.86,0.00,-32.49
15.87,0.00,-32.65
15.89,0.00,-32.80
15.90,0.00,-32.94
15.91,0.00,-33.09
15.93,0.00,-33.22
15.94,0.00,-33.36
15.95,0.00,-33.48
15.96,0.00,-33.60
15.98,0.00,-33.72
15.99,0.00,-33.83
16.00,0.00,-33.94
16.02,0.00,-34.04
16.03,0.00,-34.14
16.04,0.00,-34.23
16.05,0.00,-34.33
16.07,0.00,-34.40
16.08,0.00,-34.48
16.09,0.00,-34.55
16.11,0.00,-34.62
16.12,0.00,-34.68
16.13,0.00,-34.73
16.15,0.00,-34.78
16.16,0.00,-34.83
16.17,0.00,-34.87
16.18,0.00,-34.90
16.20,0.00,-34.93
16.21,0.00,-34.96
16.22,0.00,-34.98
16.24,0.00,-34.99
16.25,0.00,-35.00
16.26,0.00,-35.00
16.28,0.00,-35.00
16.29,0.00,-34.99
16.30,0.00,-34.98
16.31,0.00,-34.96
16.33,0.00,-34.93
16.34,0.00,-34.90
16.35,0.00,-34.87
16.37,0.00,-34.83
16.38,0.00,-34.78
16.39,0.00,-34.73
16.41,0.00,-34.68
16.42,0.00,-34.62
16.43,0.00,-34.55
16.44,0.00,-34.47
16.46,0.00,-34.40
16.47,0.00,-34.32
16.48,0.00,-34.23
16.50,0.00,-34.14
16.51,0.00,-34.04
16.52,0.00,-33.94
16.54,0.00,-33.83
16.55,0.00,-33.72
16.56,0.00,-33.60
16.57,0.00,-33.47
16.59,0.00,-33.36
16.60,0.00,-33.22
16.61,0.00,-33.08
16.63,0.00,-32.94
16.64,0.00,-32.80
16.65,0.00,-32.63
16.67,0.00,-32.48
16.68,0.00,-32.33
16.69,0.00,-32.16
16.70,0.00,-31.98
16.72,0.00,-31.82
16.73,0.00,-31.64
16.75,0.00,-31.44
16.76,0.00,-31.25
16.77,0.00,-31.08
16.78,0.00,-30.86
16.80,0.00,-30.66
16.81,0.00,-30.47
16.82,0.00,-30.27
16.83,0.00,-30.04
16.85,0.00,-29.83
16.86,0.00,-29.61
16.87,0.00,-29.37
16.89,0.00,-29.14
16.90,0.00,-28.93
16.91,0.00,-28.67
16.93,0.00,-28.43
16.94,0.00,-28.21
16.95,0.00,-27.94
16.96,0.00,-27.69
16.98,0.00,-27.46
16.99,0.00,-27.20
17.00,0.00,-26.92
17.02,0.00,-26.65
17.03,0.00,-26.41
17.04,0.00,-26.12
17.06,0.00,-25.84
17.07,0.00,-25.59
17.08,0.00,-25.29
17.09,0.00,-25.01
17.11,0.00,-24.75
17.12,0.00,-24.46
17.13,0.00,-24.15
17.15,0.00,-23.86
17.16,0.00,-23.58
17.17,0.00,-23.26
17.19,0.00,-22.97
17.20,0.00,-22.69
17.21,0.00,-22.36
17.23,0.00,-22.06
17.24,0.00,-21.75
17.25,0.00,-21.44
17.26,0.00,-21.13
17.28,0.00,-20.82
17.29,0.00,-20.53
17.30,0.00,-20.19
17.32,0.00,-19.88
17.33,0.00,-19.58
17.34,0.00,-19.24
17.36,0.00,-18.92
17.37,0.00,-18.60
17.38,0.00,-18.28
17.39,0.00,-17.95
17.41,0.00,-17.63
17.42,0.00,-17.31
17.43,0.00,-16.98
17.45,0.00,-16.66
17.46,0.00,-16.33
17.47,0.00,-16.00
17.49,0.00,-15.68
17.50,0.00,-15.35
17.51,0.00,-15.03
17.52,0.00,-14.70
17.54,0.00,-14.37
17.55,0.00,-14.05
17.56,0.00,-13.72
17.58,0.00,-13.39
17.59,0.00,-13.07
17.60,0.00,-12.74
17.62,0.00,-12.42
17.63,0.00,-12.09
17.64,0.00,-11.77
17.65,0.00,-11.45
17.67,0.00,-11.13
17.68,0.00,-10.81
17.69,0.00,-10.49
17.71,0.00,-10.17
17.72,0.00,-9.83
17.73,0.00,-9.54
17.75,0.00,-9.23
17.76,0.00,-8.92
17.77,0.00,-8.60
17.78,0.00,-8.30
17.80,0.00,-7.99
17.81,0.00,-7.68
17.82,0.00,-7.38
17.84,0.00,-7.08
17.85,0.00,-6.78
17.86,0.00,-6.48
17.87,0.00,-6.21
17.89,0.00,-5.92
17.90,0.00,-5.61
17.91,0.00,-5.34
17.93,0.00,-5.06
17.94,0.00,-4.75
17.95,0.00,-4.50
17.97,0.00,-4.22
17.98,0.00,-3.93
17.99,0.00,-3.68
18.01,0.00,-3.41
18.02,0.00,-3.12
18.03,0.00,-2.88
18.04,0.00,-2.62
18.06,0.00,-2.37
18.07,0.00,-2.12
18.08,0.00,-1.87
18.10,0.00,-1.62
18.11,0.00,-1.38
18.12,0.00,-1.15
18.13,0.00,-0.91
18.15,0.00,-0.68
18.16,0.00,-0.46
18.17,0.00,-0.23
18.19,0.00,-0.03
18.20,0.00,0.20
18.21,0.00,0.39
18.23,0.00,0.60
18.24,0.00,0.82
18.25,0.00,1.00
18.26,0.00,1.20
18.28,0.00,1.40
18.29,0.00,1.57
18.30,0.00,1.75
18.32,0.00,1.94
18.33,0.00,2.10
18.34,0.00,2.27
18.35,0.00,2.43
18.37,0.00,2.59
18.38,0.00,2.74
18.39,0.00,2.89
18.41,0.00,3.03
18.42,0.00,3.17
18.43,0.00,3.30
18.45,0.00,3.43
18.46,0.00,3.56
18.47,0.00,3.67
18.48,0.00,3.78
18.50,0.00,3.90
18.51,0.00,4.00
18.52,0.00,4.10
18.54,0.00,4.20
18.55,0.00,4.28
18.56,0.00,4.37
18.57,0.00,4.45
18.59,0.00,4.52
18.60,0.00,4.59
18.61,0.00,4.65
18.63,0.00,4.71
18.64,0.00,4.76
18.65,0.00,4.81
18.67,0.00,4.85
18.68,0.00,4.89
18.69,0.00,4.92
18.70,0.00,4.95
18.72,0.00,4.97
18.73,0.00,4.98
18.74,0.00,4.99
18.76,0.00,5.00
18.77,0.00,5.00
18.78,0.00,4.99
18.79,0.00,4.98
18.81,0.00,4.97
18.82,0.00,4.95
18.83,0.00,4.92
18.85,0.00,4.89
18.86,0.00,4.85
18.87,0.00,4.81
18.89,0.00,4.76
18.90,0.00,4.71
18.91,0.00,4.65
18.92,0.00,4.59
18.94,0.00,4.52
18.95,0.00,4.44
18.96,0.00,4.37
18.98,0.00,4.28
18.99,0.00,4.19
19.00,0.00,4.10
19.02,0.00,4.00
19.03,0.00,3.89
19.04,0.00,3.79
19.05,0.00,3.67
19.07,0.00,3.55
19.08,0.00,3.43
